Price,Close,High,Low,Open,Volume
Ticker,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD
Datetime,,,,,
2025-08-20 00:00:00+00:00,828.5803833007812,828.5803833007812,823.60693359375,823.60693359375,7462144
2025-08-20 00:15:00+00:00,824.5443115234375,828.9057006835938,824.5443115234375,828.2482299804688,4020736
2025-08-20 00:30:00+00:00,826.9105834960938,826.9105834960938,824.4395751953125,824.629150390625,9498624
2025-08-20 00:45:00+00:00,826.849365234375,827.5979614257812,826.849365234375,826.9944458007812,0
2025-08-20 01:00:00+00:00,825.058837890625,827.4435424804688,825.058837890625,826.0859985351562,1417472
2025-08-20 01:15:00+00:00,824.3876342773438,825.2702026367188,823.787109375,824.4226684570312,2364928
2025-08-20 01:30:00+00:00,819.4027099609375,824.304443359375,819.4027099609375,824.304443359375,26287872
2025-08-20 01:45:00+00:00,826.2680053710938,826.2680053710938,819.4413452148438,819.4413452148438,37513728
2025-08-20 02:00:00+00:00,828.7233276367188,828.7233276367188,826.64306640625,826.64306640625,13806080
2025-08-20 02:15:00+00:00,830.372802734375,830.5308227539062,828.87109375,828.87109375,11870720
2025-08-20 02:30:00+00:00,829.4829711914062,830.4121704101562,829.3372192382812,830.4121704101562,10816256
2025-08-20 02:45:00+00:00,830.4960327148438,830.4960327148438,829.9959716796875,830.0302124023438,0
2025-08-20 03:00:00+00:00,830.2489013671875,830.940185546875,830.2489013671875,830.4418334960938,0
2025-08-20 03:15:00+00:00,833.3855590820312,833.3855590820312,830.0296630859375,830.0771484375,5644544
2025-08-20 03:30:00+00:00,836.0517578125,836.24560546875,833.4400024414062,833.4400024414062,12845056
2025-08-20 03:45:00+00:00,836.4578247070312,836.4578247070312,835.7216186523438,836.0171508789062,0
2025-08-20 04:00:00+00:00,836.5073852539062,836.7179565429688,836.308349609375,836.4579467773438,0
2025-08-20 04:15:00+00:00,836.87744140625,836.87744140625,836.2406616210938,836.5341796875,0
2025-08-20 04:30:00+00:00,835.2938232421875,836.838623046875,835.2314453125,836.838623046875,5777920
2025-08-20 04:45:00+00:00,835.869873046875,835.953857421875,835.2022094726562,835.3335571289062,830720
2025-08-20 05:00:00+00:00,835.2882080078125,835.9163208007812,835.2661743164062,835.9163208007812,1920768
2025-08-20 05:15:00+00:00,834.6121826171875,835.2368774414062,834.1176147460938,835.2368774414062,0
2025-08-20 05:30:00+00:00,834.4467163085938,834.5220336914062,834.3674926757812,834.5191040039062,0
2025-08-20 05:45:00+00:00,834.2730712890625,834.4373779296875,833.6209716796875,834.4373779296875,4371968
