Datetime,Open,High,Low,Close,Volume
2025-08-21 00:00:00+00:00,2.9512,2.9588,2.9129,2.9299,18241396.9
2025-08-21 04:00:00+00:00,2.9298,2.9408,2.8922,2.9081,15394117.6
2025-08-21 08:00:00+00:00,2.9082,2.9161,2.8858,2.9021,11692724.7
2025-08-21 12:00:00+00:00,2.902,2.9236,2.8725,2.8875,19703535.5
2025-08-21 16:00:00+00:00,2.8874,2.9193,2.8517,2.8682,15407160.9
2025-08-21 20:00:00+00:00,2.8683,2.8885,2.8424,2.8519,10933720.0
2025-08-22 00:00:00+00:00,2.8518,2.885,2.8226,2.8331,19324655.0
2025-08-22 04:00:00+00:00,2.833,2.8747,2.8309,2.8601,14085735.3
2025-08-22 08:00:00+00:00,2.8601,2.8764,2.8041,2.8056,18243387.3
2025-08-22 12:00:00+00:00,2.8056,3.0436,2.7826,3.0169,123971189.6
2025-08-22 16:00:00+00:00,3.0169,3.1,3.0162,3.073,49874349.6
2025-08-22 20:00:00+00:00,3.073,3.1056,3.0641,3.0744,29542847.8
2025-08-23 00:00:00+00:00,3.0745,3.0749,2.9697,2.9939,35661681.3
2025-08-23 04:00:00+00:00,2.994,3.0756,2.9932,3.0619,21759696.9
2025-08-23 08:00:00+00:00,3.0619,3.0718,3.029,3.0434,14666152.1
2025-08-23 12:00:00+00:00,3.0435,3.0474,3.0072,3.0187,14541398.3
2025-08-23 16:00:00+00:00,3.0187,3.0312,3.0097,3.0297,7008640.4
2025-08-23 20:00:00+00:00,3.0297,3.058,3.025,3.0485,9613278.4
2025-08-24 00:00:00+00:00,3.0486,3.0886,3.0443,3.0526,17469958.6
2025-08-24 04:00:00+00:00,3.0526,3.0568,3.0296,3.0357,8050221.0
2025-08-24 08:00:00+00:00,3.0357,3.0478,2.9971,3.0087,14649278.6
2025-08-24 12:00:00+00:00,3.0087,3.041,3.0059,3.0144,13126823.6
2025-08-24 16:00:00+00:00,3.0144,3.128,2.9911,3.0343,67645803.5
2025-08-24 20:00:00+00:00,3.0344,3.0474,2.987,3.0258,36411248.7
2025-08-25 00:00:00+00:00,3.0259,3.0535,2.9736,3.0219,26524879.3
2025-08-25 04:00:00+00:00,3.0219,3.0261,2.9301,2.9384,29408443.9
2025-08-25 08:00:00+00:00,2.9385,2.9579,2.9193,2.9429,22877290.0
2025-08-25 12:00:00+00:00,2.9429,2.9744,2.9276,2.9538,18882104.0
2025-08-25 16:00:00+00:00,2.9538,2.9685,2.8724,2.8768,26457659.6
2025-08-25 20:00:00+00:00,2.8769,2.8944,2.8223,2.8584,51993881.6
2025-08-26 00:00:00+00:00,2.8584,2.898,2.8459,2.885,23454695.3
2025-08-26 04:00:00+00:00,2.885,2.935,2.885,2.9172,22397842.8
2025-08-26 08:00:00+00:00,2.9171,2.9278,2.8904,2.9011,16301347.4
2025-08-26 12:00:00+00:00,2.9012,2.9429,2.8876,2.9331,30045507.4
2025-08-26 16:00:00+00:00,2.933,3.0817,2.9261,3.0607,34879763.5
2025-08-26 20:00:00+00:00,3.0606,3.0624,3.0032,3.0123,33443431.4
2025-08-27 00:00:00+00:00,3.0123,3.014,2.9811,3.0043,19166729.0
2025-08-27 04:00:00+00:00,3.0043,3.0279,2.9846,2.9934,16087697.6
2025-08-27 08:00:00+00:00,2.9934,3.0235,2.9934,2.9984,11028211.7
2025-08-27 12:00:00+00:00,2.9983,3.0321,2.9882,3.0169,21694640.4
2025-08-27 16:00:00+00:00,3.017,3.0454,2.9875,3.0053,21291102.0
