rsi_period,entry,exit,stop,final,return_pct,trades,win_rate
21,26,80,0.08,2398.157063059433,59.87713753729553,7,71.42857142857143
21,26,80,0.12,2374.2245928895277,58.28163952596852,7,85.71428571428571
21,26,80,0.1,2374.1018122558085,58.273454150387224,7,71.42857142857143
21,26,80,0.05,2279.588412138179,51.972560809211934,9,66.66666666666666
21,30,80,0.05,2046.0780433198745,36.40520288799163,10,50.0
21,28,80,0.08,2000.8184467929466,33.38789645286311,8,62.5
21,28,80,0.12,1980.8512275766295,32.056748505108644,8,75.0
21,28,80,0.1,1980.748789850327,32.04991932335515,8,62.5
21,32,80,0.05,1902.4524910450489,26.830166069669925,13,53.84615384615385
21,28,80,0.05,1901.8948409837644,26.792989398917634,10,60.0
21,34,80,0.05,1883.4778004805996,25.565186698706643,13,53.84615384615385
21,24,80,0.05,1876.6036522789811,25.10691015193207,6,66.66666666666666
21,24,80,0.08,1864.773443199314,24.318229546620927,5,60.0
21,30,80,0.08,1838.8737473951905,22.591583159679374,8,62.5
21,24,80,0.1,1837.958636905003,22.530575793666863,5,80.0
21,24,80,0.12,1820.1666193168658,21.34444128779105,5,80.0
21,20,80,0.05,1818.3324265839133,21.222161772260883,2,50.0
21,20,80,0.08,1818.3324265839133,21.222161772260883,2,50.0
21,20,80,0.1,1818.3324265839133,21.222161772260883,2,50.0
21,20,80,0.12,1818.3324265839133,21.222161772260883,2,50.0
21,30,80,0.1,1813.8560791946684,20.923738612977893,8,62.5
21,30,80,0.12,1795.6617900970887,19.71078600647258,8,62.5
21,26,70,0.08,1795.5005604063278,19.700037360421852,10,70.0
21,22,80,0.08,1793.280840878597,19.55205605857313,2,50.0
21,22,80,0.1,1793.280840878597,19.55205605857313,2,50.0
21,22,80,0.12,1793.280840878597,19.55205605857313,2,50.0
21,26,70,0.12,1777.5823163247032,18.505487754980223,10,80.0
21,26,70,0.1,1777.4903904454327,18.499359363028844,10,70.0
21,26,75,0.08,1775.6815916609278,18.37877277739519,8,62.5
21,22,80,0.05,1771.2903808703052,18.086025391353687,3,66.66666666666666
21,32,80,0.1,1769.8554213481495,17.990361423209976,9,66.66666666666666
21,26,65,0.05,1766.8438828786266,17.789592191908433,12,83.33333333333334
21,26,75,0.12,1757.9611314882907,17.197408765886046,8,75.0
21,26,75,0.1,1757.8702202988336,17.191348019922238,8,62.5
21,34,80,0.1,1755.0937743674986,17.006251624499914,9,66.66666666666666
21,32,80,0.12,1752.1024906904847,16.806832712698984,9,66.66666666666666
21,20,70,0.05,1751.9310604451393,16.795404029675964,2,50.0
21,20,70,0.08,1751.9310604451393,16.795404029675964,2,50.0
