Datetime,Open,High,Low,Close,Volume
2025-08-21 00:00:00+00:00,869.05,869.35,867.22,867.86,2188.718
2025-08-21 00:15:00+00:00,867.87,872.48,867.45,872.47,3732.389
2025-08-21 00:30:00+00:00,872.48,876.25,872.09,874.64,4885.728
2025-08-21 00:45:00+00:00,874.64,875.14,872.07,874.76,3307.136
2025-08-21 01:00:00+00:00,874.77,876.55,873.07,874.02,2007.59
2025-08-21 01:15:00+00:00,874.01,874.37,870.35,872.34,2377.353
2025-08-21 01:30:00+00:00,872.35,878.0,872.34,877.89,3221.971
2025-08-21 01:45:00+00:00,877.89,883.86,877.6,882.63,11599.276
2025-08-21 02:00:00+00:00,882.62,882.97,874.8,875.1,4702.274
2025-08-21 02:15:00+00:00,875.1,875.2,870.73,870.87,3119.121
2025-08-21 02:30:00+00:00,870.88,871.0,866.8,867.69,6621.026
2025-08-21 02:45:00+00:00,867.7,870.23,867.46,869.04,2666.207
2025-08-21 03:00:00+00:00,869.03,873.61,869.03,870.75,3204.026
2025-08-21 03:15:00+00:00,870.75,871.35,867.2,867.51,2401.132
2025-08-21 03:30:00+00:00,867.51,869.24,866.73,868.62,2875.672
2025-08-21 03:45:00+00:00,868.62,869.0,866.11,866.21,1870.451
2025-08-21 04:00:00+00:00,866.21,866.43,863.61,863.77,4548.674
2025-08-21 04:15:00+00:00,863.78,864.19,862.74,863.92,1524.73
2025-08-21 04:30:00+00:00,863.92,865.45,863.24,864.37,1733.308
2025-08-21 04:45:00+00:00,864.4,865.29,863.74,863.78,1005.077
2025-08-21 05:00:00+00:00,863.79,864.65,860.27,861.14,2564.38
2025-08-21 05:15:00+00:00,861.14,862.01,858.04,860.14,4810.596
2025-08-21 05:30:00+00:00,860.13,861.98,860.01,861.41,2252.302
2025-08-21 05:45:00+00:00,861.42,863.38,860.89,863.37,2039.664
2025-08-21 06:00:00+00:00,863.38,863.99,861.3,862.55,1490.131
2025-08-21 06:15:00+00:00,862.56,866.21,861.51,862.8,3702.783
2025-08-21 06:30:00+00:00,862.81,866.59,862.81,866.51,3396.464
2025-08-21 06:45:00+00:00,866.5,866.5,864.3,864.77,1696.272
2025-08-21 07:00:00+00:00,864.77,864.8,861.9,861.91,1582.023
2025-08-21 07:15:00+00:00,861.91,862.4,858.03,858.44,5364.761
2025-08-21 07:30:00+00:00,858.44,862.3,858.21,861.18,3012.97
2025-08-21 07:45:00+00:00,861.17,862.9,860.32,862.48,2677.077
2025-08-21 08:00:00+00:00,862.48,864.34,861.22,861.97,3942.337
2025-08-21 08:15:00+00:00,861.96,861.96,857.83,858.4,5127.896
2025-08-21 08:30:00+00:00,858.41,859.51,856.86,859.2,3667.979
2025-08-21 08:45:00+00:00,859.19,859.83,856.72,856.73,2717.452
2025-08-21 09:00:00+00:00,856.73,856.84,850.13,851.5,20237.934
2025-08-21 09:15:00+00:00,851.5,851.51,849.02,851.0,9246.263
2025-08-21 09:30:00+00:00,851.0,853.88,850.49,853.79,1724.996
2025-08-21 09:45:00+00:00,853.78,854.18,851.3,851.47,1229.807
2025-08-21 10:00:00+00:00,851.47,852.05,849.63,851.58,2950.005
2025-08-21 10:15:00+00:00,851.58,851.91,849.72,850.78,2124.866
